"Código da Unidade Orçamentária","Unidade Orçamentária","Código da Unidade Gestora","Unidade Gestora","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","1939218.94","1923019.72","16199.22"
"1101","ASSEMBLEIA LEGISLATIVA","10001","ASSEMBLEIA LEGISLATIVA","200900933.75","199312910.77","1588022.98"
"11101","CONTROLADORIA GERAL DO ESTADO","110001","GABINETE DO SECRETARIO","16204657.05","15990910.10","213746.95"
"12101","SEC. DE ESTADO DO DES. E DA ARTICULACAO MUNICIPAL","120001","GABINETE DO SECRETARIO","993347.45","986193.91","7153.54"
"13101","PROCURADORIA GERAL DO ESTADO","130001","PROCURADORIA GERAL DO ESTADO","19856533.89","19754165.27","102368.62"
"13901","FUNDO DE MODERNIZACAO E REAPAR DA PROC GERAL DO ESTADO","740001","FUNDO DE MODERNIZACAO E REAPAR DA PROC GERAL DO ESTADO","140502.64","136032.63","4470.01"
"14101","DEFENSORIA PUBLICA DO ESTADO DA PARAIBA","140001","DEFENSORIA PUBLICA DO ESTADO DA PARAIBA","47127444.83","47009567.58","117877.25"
"14901","FUNDO ESTADUAL DE DEFESA DOS DIREITOS DO CONSUMIDOR","560001","FUNDO ESTADUAL DE DEFESA DOS DIREITOS DO CONSUMIDOR","705803.80","665884.27","39919.53"
"14902","FUNDO ESPECIAL DA DEFENSORIA PUBLICA","600001","FUNDO ESPECIAL DE DEFENSORIA PUBLICA","20000.00","7350.00","12650.00"
"15101","POLICIA MILITAR DO ESTADO","150001","COMANDO GERAL DA POLICIA MILITAR","454206874.27","450051745.49","4155128.78"
"15101","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","COMANDO GERAL DA POLICIA MILITAR","80951.22","80951.22","0.00"
"15201","HOSPITAL DA POLICIA MILITAR GEN EDSON RAMALHO","150101","INSTITUTO HOSPITALAR GENERAL EDSON RAMALHO","20120714.20","19034663.87","1086050.33"
"17101","SECRETARIA DE ESTADO DA RECEITA","170001","GABINETE DO SECRETARIO","167739742.77","166274202.74","1465540.03"
"17102","SECRETARIA DE ESTADO DA RECEITA","170001","UNIDADE SETORIAL DE ADMINISTRACAO","283901.20","258308.70","25592.50"
"17103","SECRETARIA DE ESTADO DA RECEITA","170001","GERENCIA DE PROGRAMACAO ORCAMENTARIA ESTADUAL","72109.05","65241.05","6868.00"
"17104","SECRETARIA DE ESTADO DA RECEITA","170001","GERENCIA DO NUCLEO CENTRAL DE INFORMATICA","53722.30","49776.66","3945.64"
"17902","FUNDO DE APOIO AO DESENV. DA ADMINISTRACAO TRIBUTARIA","730001","FUNDO DE APOIO AO DESENVOLV.DA ADMINISTRACAO TRIBUTARIA","1306243.99","773734.87","532509.12"
"18101","SECRETAR DE ESTADO DA INTERIORIZACAO DA ACAO DO GOVERNO","180001","GABINETE DO SECRETARIO","1785484.85","1770663.22","14821.63"
"19101","SECRETARIA DE ESTADO DA ADMINISTRACAO","190001","GABINETE DO SECRETARIO","20916604.82","20001256.16","915348.66"
"19201","INSTITUTO DE ASSISTENCIA A SAUDE DO SERVIDOR","190101","INSTITUTO DE ASSISTENCIA A SAUDE DO SERVIDOR - IPEP","28921687.62","28237381.80","684305.82"
"19202","ESPEP - ESCOLA DE SERVICO PUBLICO DO ESTADO DA PARAIBA","190201","ESCOLA DE SERVICO PUBLICO DO ESTADO DA PARAIBA - ESPEP","1439009.72","1148167.73","290841.99"
"19204","CODATA - CIA DE PROCESSAMENTO DE DADOS DA PARAIBA","190401","COMPANHIA DE PROCESSAMENTO DE DADOS DA PARAIBA - CODATA","23586805.80","19629330.76","3957475.04"
"19901","FUNDO ESPECIAL DE DESENV DE RECURSOS HUMANOS","490001","FUNDO ESPECIAL DE DESENVOLVIMENTO DE RECURSOS HUMANOS","3012485.56","2721589.17","290896.39"
"20101","SECRETARIA DE ESTADO DAS FINANCAS","200001","SECRETARIA EXECUTIVA DA FAZENDA","6191467.42","6161658.07","29809.35"
"20102","SECRETARIA DE ESTADO DAS FINANCAS","200001","SECRETATRIA EXECUTIVA DA RECEITA","56790178.79","56790178.79","0.00"
"20103","SECRETARIA DE ESTADO DAS FINANCAS","200001","PRIMEIRA GERÊNCIA REGIONAL","18000.00","18000.00","0.00"
"20104","SECRETARIA DE ESTADO DAS FINANCAS","200001","SEGUNDA GERÊNCIA REGIONAL","18150.00","18150.00","0.00"
"20105","SECRETARIA DE ESTADO DAS FINANCAS","200001","TERCEIRA GERÊNCIA REGIONAL","18600.00","18575.00","25.00"
"20106","SECRETARIA DE ESTADO DAS FINANCAS","200001","QUARTA GERÊNCIA REGIONAL","9215.00","9215.00","0.00"
"20107","SECRETARIA DE ESTADO DAS FINANCAS","200001","QUINTA GERÊNCIA REGIONAL","10243.50","10243.50","0.00"
"20108","SECRETARIA DE ESTADO DAS FINANCAS","200001","ESCOLA DE ADMINISTRAÇÃO TRIBUTÁRIA","63658.06","63658.06","0.00"
"20902","FUNDO DE APOIO AO DESENV. DA ADMINISTRACAO TRIBUTARIA","790001","FUNDO DE APOIO AO DESENVOLV.DA ADMINISTRAÇÃO TRIBUTÁRIA","0.00","0.00","0.00"
"2101","TRIBUNAL DE CONTAS","20001","TRIBUNAL DE CONTAS","97568918.63","93121638.47","4447280.16"
"21101","SEC DE ESTADO DO TURISMO E DO DESENVOLVIMENTO ECONOMICO","210001","GABINETE DO SECRETARIO","11517237.98","11165951.03","351286.95"
"21201","CIA DE DESENVOLVIMENTO DA PARAIBA","210101","COMPANHIA DE INDUSTRIALIZACAO DO ESTADO DA PARAIBA","18726739.03","18482243.64","244495.39"
"21202","EMPRESA PARAIBANA DE TURISMO SA  -  PB-TUR","210201","EMPRESA PARAIBANA DE TURISMO - PB/TUR","4241950.03","4134915.64","107034.39"
