"CÓDIGO DA RECEITA","MÊS","DESCRIÇÃO RECEITA","UNIDADE GESTORA","CLASSIFICAÇÃO","VALOR DO MÊS (R$)","SALDO ATÉ MÊS (R$)"
"011120431","1","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","244668000.00","244668000.00"
"011120431","1","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","19334683.97","19334683.97"
"011120431","2","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","244668000.00"
"011120431","2","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","20872766.15","40207450.12"
"011120431","3","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","244668000.00"
"011120431","3","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","21576480.18","61783930.30"
"011120431","4","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","244668000.00"
"011120431","4","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","22694775.60","84478705.90"
"011120431","5","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","244668000.00"
"011120431","5","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","21733124.62","106211830.52"
"011120431","6","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","244668000.00"
"011120431","6","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","23213761.69","129425592.21"
"011120431","7","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","244668000.00"
"011120431","7","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","22260635.63","151686227.84"
"011120431","8","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","244668000.00"
"011120431","8","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","20819166.27","172505394.11"
"011120431","9","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","244668000.00"
"011120431","9","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","22683518.37","195188912.48"
