"Exercicio","Mes","Orgao","Cargo","Quantidade","Regime","Ativo"
"2014","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 1","17","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 2","6","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 3","4","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","SOLDADO ENGAJADO","1","MILITAR REFORMADO","Inativos"
"2014","1","PBPREV - INATIVO","AGENTE ADMINISTRATIVO","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","2","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PARTEIRA","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","SERVENTE","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","4","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","SERVENTE","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","SERVENTE PORTEIRO","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AGENTE DE SAUDE","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","MEDICO","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 1","13","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 3","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AGENTE SEGUR. PENITENCIARIO","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","ENGENHEIRO AGRONOMO","3","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUDITOR FISCAL MERCAD.TRANSITO","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PEDAGOGO","2","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 1","14","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 2","18","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 3","16","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","REGENTE DE ENSINO","13","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AGENTE DE INVESTIGACAO","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","2. SARGENTO","2","MILITAR REFORMADO","Inativos"
"2014","1","PBPREV - INATIVO","CABO","4","MILITAR REFORMADO","Inativos"
"2014","1","PBPREV - INATIVO","SOLDADO ENGAJADO","1","MILITAR REFORMADO","Inativos"
"2014","1","PBPREV - INATIVO","AGENTE ADM. AUXILIAR","2","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AGENTE ADMINISTRATIVO","2","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","ASSESSOR P/ ASS ADM GERAL","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUXILIAR DE ADMINISTRACAO","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","MOTORISTA","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUXILIAR DE ESCRITA","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","13","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","ZELADOR","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUXILIAR DE ESCRITA","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","13","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AGENTE DE SAUDE","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","ATENDENTE","3","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUXILIAR DE ENFERMAGEM","3","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AGENTE SEGUR. PENITENCIARIO","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","TECNICO DE NIVEL SUPERIOR","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUDITOR FISCAL TRIBUTARIO EST.","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PEDAGOGO","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 1","28","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 2","10","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 3","17","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","REGENTE DE ENSINO","5","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","1. SARGENTO","1","MILITAR REFORMADO","Inativos"
"2014","1","PBPREV - INATIVO","2. SARGENTO","1","MILITAR REFORMADO","Inativos"
"2014","1","PBPREV - INATIVO","3. SARGENTO","1","MILITAR REFORMADO","Inativos"
"2014","1","PBPREV - INATIVO","MAJOR","1","MILITAR REFORMADO","Inativos"
"2014","1","PBPREV - INATIVO","SOLDADO ENGAJADO","1","MILITAR REFORMADO","Inativos"
"2014","1","PBPREV - INATIVO","AGENTE ADM. AUXILIAR","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","3","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","TECNICO EM CONTABILIDADE","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUXILIAR DE ADMINISTRACAO","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","9","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","SERVENTE","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","VIGIA","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","VISITADOR SOCIAL","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","ASSISTENTE SOCIAL","1","ESTATUTARIO INATIVO","Inativos"
"2014","1","PBPREV - INATIVO","ATENDENTE","1","ESTATUTARIO INATIVO","Inativos"
