"Código da Unidade Gestora","Unidade Gestora","Código do Subelemento de Despesas","Subelemento de Despesa","Código da Função","Função","Código da Subfunção","Subfunção","Código do Programa","Programa","Código do Projeto Atividade","Projeto Atividade","Código da Natureza da Despesa","Natureza da despesa","Código da Fonte de Recurso","Fonte de Recursos","Código do Grupo de Despesas","Grupo de Despesas","Código da Unidade Orçamentária","Unidade Orçamentária","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","1","DIARIAS NO ESTADO","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","GESTAO, MANUTENCAO E SERVICOS AO ESTADO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33901400","DIARIAS -  CIVIL","100","RECURSOS ORDINARIOS","13","OUTRAS DESPESAS CORRENTES","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","15975.00","15975.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","2","DIARIAS FORA DO ESTADO","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","GESTAO, MANUTENCAO E SERVICOS AO ESTADO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33901400","DIARIAS -  CIVIL","100","RECURSOS ORDINARIOS","13","OUTRAS DESPESAS CORRENTES","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","4320.00","4320.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","5","MATERIAL DE EXPEDIENTE","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","GESTAO, MANUTENCAO E SERVICOS AO ESTADO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903000","MATERIAL DE CONSUMO","100","RECURSOS ORDINARIOS","13","OUTRAS DESPESAS CORRENTES","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","2068.83","1719.98","348.85"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","26","MATERIAL DE PROTECAO SEGURANCA E SOCORRO","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","GESTAO, MANUTENCAO E SERVICOS AO ESTADO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903000","MATERIAL DE CONSUMO","100","RECURSOS ORDINARIOS","13","OUTRAS DESPESAS CORRENTES","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","475.00","475.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","69","SUPRIMENTO DE FUNDOS","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","GESTAO, MANUTENCAO E SERVICOS AO ESTADO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903000","MATERIAL DE CONSUMO","100","RECURSOS ORDINARIOS","13","OUTRAS DESPESAS CORRENTES","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","4000.00","4000.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","1","PASSAGENS AEREAS","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","GESTAO, MANUTENCAO E SERVICOS AO ESTADO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903300","PASSAGENS E DESPESAS COM LOCOMOCAO","100","RECURSOS ORDINARIOS","13","OUTRAS DESPESAS CORRENTES","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","23480.49","23000.49","480.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","2","PASSAGENS TERRESTRE","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","GESTAO, MANUTENCAO E SERVICOS AO ESTADO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903300","PASSAGENS E DESPESAS COM LOCOMOCAO","100","RECURSOS ORDINARIOS","13","OUTRAS DESPESAS CORRENTES","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","3373.82","3373.82","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","5","SUPRIMENTO DE FUNDOS","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","GESTAO, MANUTENCAO E SERVICOS AO ESTADO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903300","PASSAGENS E DESPESAS COM LOCOMOCAO","100","RECURSOS ORDINARIOS","13","OUTRAS DESPESAS CORRENTES","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","1866.48","1866.48","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","6","SUPRIMENTO DE FUNDOS","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","GESTAO, MANUTENCAO E SERVICOS AO ESTADO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903900","OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA","100","RECURSOS ORDINARIOS","13","OUTRAS DESPESAS CORRENTES","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","3500.00","3500.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","13","LOCACAO DE MOVEIS MAQUINAS E EQUIPAMENTOS","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","GESTAO, MANUTENCAO E SERVICOS AO ESTADO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903900","OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA","100","RECURSOS ORDINARIOS","13","OUTRAS DESPESAS CORRENTES","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","0.00","0.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","20","FORNECIMENTO DE ALIMENTACAO","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","GESTAO, MANUTENCAO E SERVICOS AO ESTADO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903900","OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA","100","RECURSOS ORDINARIOS","13","OUTRAS DESPESAS CORRENTES","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","20775.00","20775.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","23","REPAROS CONSERVACAO E ADAPTACAO DE IMOVEIS","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","GESTAO, MANUTENCAO E SERVICOS AO ESTADO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903900","OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA","100","RECURSOS ORDINARIOS","13","OUTRAS DESPESAS CORRENTES","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","795.00","795.00","0.00"
