"Código da Unidade Orçamentária","Unidade Orçamentária","Código da Unidade Gestora","Unidade Gestora","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","2595346.81","2527845.41","67501.40"
"1101","ASSEMBLEIA LEGISLATIVA","10001","ASSEMBLEIA LEGISLATIVA","218005910.76","216548191.43","1457719.33"
"11101","CONTROLADORIA GERAL DO ESTADO","110001","GABINETE DO SECRETARIO","16303442.45","16277083.26","26359.19"
"12101","SEC. DE ESTADO DO DES. E DA ARTICULACAO MUNICIPAL","120001","GABINETE DO SECRETARIO","990768.02","983416.48","7351.54"
"13101","PROCURADORIA GERAL DO ESTADO","130001","PROCURADORIA GERAL DO ESTADO","21570671.72","21520452.62","50219.10"
"13901","FUNDO DE MODERNIZACAO E REAPAR DA PROC GERAL DO ESTADO","740001","FUNDO DE MODERNIZACAO E REAPAR DA PROC GERAL DO ESTADO","105164.40","105164.40","0.00"
"14101","DEFENSORIA PUBLICA DO ESTADO DA PARAIBA","140001","DEFENSORIA PUBLICA DO ESTADO DA PARAIBA","51694925.48","51265457.46","429468.02"
"14901","FUNDO ESTADUAL DE DEFESA DOS DIREITOS DO CONSUMIDOR","560001","FUNDO ESTADUAL DE DEFESA DOS DIREITOS DO CONSUMIDOR","462225.08","449930.86","12294.22"
"14902","FUNDO ESPECIAL DA DEFENSORIA PUBLICA","600001","FUNDO ESPECIAL DE DEFENSORIA PUBLICA","7762.66","4020.00","3742.66"
"15101","POLICIA MILITAR DO ESTADO","150001","COMANDO GERAL DA POLICIA MILITAR","485136592.15","482209454.52","2927137.63"
"15101","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","COMANDO GERAL DA POLICIA MILITAR","251403.99","251403.99","0.00"
"15201","HOSPITAL DA POLICIA MILITAR GEN EDSON RAMALHO","150101","INSTITUTO HOSPITALAR GENERAL EDSON RAMALHO","22006666.89","20194582.89","1812084.00"
"17101","SECRETARIA DE ESTADO DA RECEITA","170001","GABINETE DO SECRETARIO","237813422.62","236937234.66","876187.96"
"17102","SECRETARIA DE ESTADO DA RECEITA","170001","ESCOLA DE ADMINISTRACAO TRIBUTARIA","313588.35","275135.35","38453.00"
"17103","SECRETARIA DE ESTADO DA RECEITA","170001","PRIMEIRA GERENCIA REGIONAL","127434.96","127034.96","400.00"
"17104","SECRETARIA DE ESTADO DA RECEITA","170001","SEGUNDA GERENCIA REGIONAL","64145.61","61555.71","2589.90"
