"Código da Unidade Orçamentária","Unidade Orçamentária","Código da Unidade Gestora","Unidade Gestora","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","100001","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","2699507.37","2649988.70","49518.67"
"1101","ASSEMBLEIA LEGISLATIVA","10001","ASSEMBLEIA LEGISLATIVA","232519541.52","231073051.52","1446490.00"
"11101","CONTROLADORIA GERAL DO ESTADO","110001","CONTROLADORIA GERAL DO ESTADO","17394598.69","17370092.43","24506.26"
"12101","SECRETARIA DE ESTADO DA SAUDE","250001","SEC DE EST DO DESENVOL DE DA ARTICULACAO MUNICIPAL","1873098.30","661520.27","1211578.03"
"12101","SEC. DE ESTADO DO DES. E DA ARTICULACAO MUNICIPAL","120001","SEC DE EST DO DESENVOL DE DA ARTICULACAO MUNICIPAL","6621341.71","6607861.39","13480.32"
"12101","ENCARGOS GERAIS DO ESTADO - SUP SEC ADMINISTRACAO","300001","SEC DE EST DO DESENVOL DE DA ARTICULACAO MUNICIPAL","8750000.00","8750000.00","0.00"
"13101","PROCURADORIA GERAL DO ESTADO","130001","PROCURADORIA GERAL DO ESTADO","20865618.27","20806737.60","58880.67"
"13901","FUNDO DE MODERNIZACAO E REAPAR DA PROC GERAL DO ESTADO","740001","FUNDO DE MODERNIZACAO E REAPAR DA PROC GERAL DO ESTADO","179549.90","179549.90","0.00"
"14101","DEFENSORIA PUBLICA DO ESTADO DA PARAIBA","140001","DEFENSORIA PUBLICA DO ESTADO DA PARAIBA","71276623.36","66494872.73","4781750.63"
"14901","FUNDO ESTADUAL DE DEFESA DOS DIREITOS DO CONSUMIDOR","560001","FUNDO ESTADUAL DE DEFESA DOS DIREITOS DO CONSUMIDOR","8348.22","8348.22","0.00"
"14902","FUNDO ESPECIAL DA DEFENSORIA PUBLICA","600001","FUNDO ESPECIAL DE DEFENSORIA PUBLICA","22502.26","15784.26","6718.00"
"15101","POLICIA MILITAR DO ESTADO","150001","COMANDO GERAL DA POLICIA MILITAR","562988389.84","561213984.85","1774404.99"
"15101","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","COMANDO GERAL DA POLICIA MILITAR","532655.88","532655.88","0.00"
"15201","HOSPITAL DA POLICIA MILITAR GEN EDSON RAMALHO","150101","INSTITUTO HOSPITALAR GENERAL EDSON RAMALHO","24149712.19","21509471.05","2640241.14"
"17101","SECRETARIA DE ESTADO DA RECEITA","170001","SECRETARIA DE ESTADO DA RECEITA","248229307.77","247946446.05","282861.72"
"17102","SECRETARIA DE ESTADO DA RECEITA","170001","ESCOLA DE ADMINISTRACAO TRIBUTARIA","254719.26","254719.26","0.00"
"17103","SECRETARIA DE ESTADO DA RECEITA","170001","PRIMEIRA GERENCIA REGIONAL","140982.76","140982.76","0.00"
"17104","SECRETARIA DE ESTADO DA RECEITA","170001","SEGUNDA GERENCIA REGIONAL","55350.12","52600.12","2750.00"
"17105","SECRETARIA DE ESTADO DA RECEITA","170001","TERCEIRA GERENCIA REGIONAL","102792.44","102792.44","0.00"
"17106","SECRETARIA DE ESTADO DA RECEITA","170001","QUARTA GERENCIA REGIONAL","61062.00","61062.00","0.00"
"17107","SECRETARIA DE ESTADO DA RECEITA","170001","QUINTA GERENCIA REGIONAL","35359.48","35359.48","0.00"
"17902","LOTERIA DO ESTADO DA PARAIBA","270301","FUNDO DE APOIO AO DESENVOLV.DA ADMINISTRACAO TRIBUTARIA","454714.02","436142.60","18571.42"
"17902","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","FUNDO DE APOIO AO DESENVOLV.DA ADMINISTRACAO TRIBUTARIA","118980.98","114677.76","4303.22"
"17902","FUNDO DE APOIO AO DESENV. DA ADMINISTRACAO TRIBUTARIA","730001","FUNDO DE APOIO AO DESENVOLV.DA ADMINISTRACAO TRIBUTARIA","1839179.97","1433679.92","405500.05"
"18101","SECRETAR DE ESTADO DA INTERIORIZACAO DA ACAO DO GOVERNO","180001","SECRETAR DE ESTADO DA INTERIORIZACAO DA ACAO DO GOVERNO","2320554.37","2296733.99","23820.38"
"19101","SECRETARIA DE ESTADO DA ADMINISTRACAO","190001","SECRETARIA DE ESTADO DA ADMINISTRACAO","22840446.98","22760977.07","79469.91"
"19201","INSTITUTO DE ASSISTENCIA A SAUDE DO SERVIDOR","190101","INSTITUTO DE ASSISTENCIA A SAUDE DO SERVIDOR","25117544.65","24745113.57","372431.08"
"19202","ESPEP - ESCOLA DE SERVICO PUBLICO DO ESTADO DA PARAIBA","190201","ESCOLA DE SERVICO PUBLICO DO ESTADO DA PARAIBA - ESPEP","613228.12","552294.44","60933.68"
"19204","CODATA - CIA DE PROCESSAMENTO DE DADOS DA PARAIBA","190401","COMPANHIA DE PROCESSAMENTO DE DADOS DA PARAIBA - CODATA","23184685.48","22150901.57","1033783.91"
"19901","FUNDO ESPECIAL DE DESENV DE RECURSOS HUMANOS","490001","FUNDO ESPECIAL DE DESENVOLVIMENTO DE RECURSOS HUMANOS","2165306.05","2114688.94","50617.11"
"20101","SECRETARIA DE ESTADO DAS FINANCAS","200001","SECRETARIA DE ESTADO DAS FINANCAS","3801933.90","3777854.86","24079.04"
"2101","TRIBUNAL DE CONTAS","20001","TRIBUNAL DE CONTAS","110040058.91","108633172.20","1406886.71"
"21101","SEC DE ESTADO DO TURISMO E DO DESENVOLVIMENTO ECONOMICO","210001","SEC DE ESTADO DO TURISMO E DO DESENVOLVIMENTO ECONOMICO","15555983.07","15520267.87","35715.20"
"21201","CIA DE DESENVOLVIMENTO DA PARAIBA","210101","COMPANHIA DE DESENVOLVIMENTO DA PARAIBA","12133446.81","11552229.21","581217.60"
"21202","EMPRESA PARAIBANA DE TURISMO SA  -  PB-TUR","210201","EMPRESA PARAIBANA DE TURISMO - PB/TUR","4078165.74","3991485.92","86679.82"
"21204","INSTITUTO DE METROLOGIA E QUALIDADE INDUST. DA PARAIBA","210401","INST DE METROLOGIA E QUALIDADE INDUSTRIAL DA PARAIBA","7590221.33","7483784.74","106436.59"
"21205","JUNTA COMERCIAL DO ESTADO DA PARAIBA","210501","JUNTA COMERCIAL DO ESTADO DA PARAIBA","5893061.38","5835486.98","57574.40"
"21207","PB-TUR HOTEIS S/A","210701","PB-TUR HOTEIS S/A","353786.90","337068.55","16718.35"
"21212","CIA DE DESENVOLVIMENTO DE RECURSOS MINERAIS DA PARAIBA","211201","COMPANHIA DE DESENVOLVIMENTO DE RECURSOS MINERAIS","8305505.11","8195506.10","109999.01"
"21901","FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO","770001","FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO","34283683.09","34260080.98","23602.11"
"21902","FUNDO DE APOIO AO DESENVOLVIMENTO INDUSTRIAL DA PB","650001","FUNDO DE APOIO AO DESENVOLVIMENTO INDUSTRIAL DA PARAíBA","4801680.33","2775193.92","2026486.41"
"22101","FUNDACAO CENTRO INTEGR. DE APOIO AO POR. DE DEFICIENCIA","220801","SECRETARIA DE ESTADO DA EDUCACAO","20524.00","20524.00","0.00"
"22101","SECRETARIA DE ESTADO DA EDUCACAO","220001","SECRETARIA DE ESTADO DA EDUCACAO","1160110152.00","1041866656.37","118243495.63"
"22101","IDEME - INST DE DESENV MUNICIPAL E ESTADUAL","320101","SECRETARIA DE ESTADO DA EDUCACAO","31037.00","24110.60","6926.40"
"22101","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","SECRETARIA DE ESTADO DA EDUCACAO","55104670.79","51443359.73","3661311.06"
"22102","SECRETARIA DE ESTADO DA EDUCACAO","220001","PRIMEIRA GERENCIA REGIONAL DE ENSINO - JOAO PESSOA","88104.76","83750.76","4354.00"
"22104","SECRETARIA DE ESTADO DA EDUCACAO","220001","TERCEIRA GERENCIA REGIONAL DE ENSINO - CAMPINA GRANDE","116374.65","109942.01","6432.64"
"22105","SECRETARIA DE ESTADO DA EDUCACAO","220001","QUARTA GERENCIA REGIONAL DE ENSINO - CUITE","78938.60","78938.60","0.00"
"22106","SECRETARIA DE ESTADO DA EDUCACAO","220001","QUINTA GERENCIA REGIONAL DE ENSINO - MONTEIRO","97524.81","90968.51","6556.30"
"22107","SECRETARIA DE ESTADO DA EDUCACAO","220001","SEXTA GERENCIA REGIONAL DE ENSINO - PATOS","210475.43","208245.33","2230.10"
"22108","SECRETARIA DE ESTADO DA EDUCACAO","220001","SETIMA GERENCIA REGIONAL DE ENSINO - ITAPORANGA","88371.35","88371.35","0.00"
"22109","SECRETARIA DE ESTADO DA EDUCACAO","220001","OITAVA GERENCIA REGIONAL DE ENSINO - CATOLE DO ROCHA","58226.47","58226.47","0.00"
"22110","SECRETARIA DE ESTADO DA EDUCACAO","220001","NONA GERENCIA REGIONAL DE ENSINO - CAJAZEIRAS","134533.30","134533.30","0.00"
"22111","SECRETARIA DE ESTADO DA EDUCACAO","220001","DECIMA GERENCIA REGIONAL DE ENSINO - SOUSA","111730.14","111660.13","70.01"
"22112","SECRETARIA DE ESTADO DA EDUCACAO","220001","DECIMA PRIMEIRA GER REG DE ENSINO - PRINCESA_ISABEL","53520.03","48794.94","4725.09"
"22113","SECRETARIA DE ESTADO DA EDUCACAO","220001","DECIMA SEGUNDA GER REGIONAL DE ENSINO - ITABAIANA","126286.00","126286.00","0.00"
"22114","SECRETARIA DE ESTADO DA EDUCACAO","220001","DECIMA TERCEIRA GERENCIA REGIONAL DE ENSINO - POMBAL","92959.78","92479.78","480.00"
"22115","SECRETARIA DE ESTADO DA EDUCACAO","220001","DECIMA QUARTA GERENCIA REGIONAL DE ENSINO - MAMANGUAPE","86604.65","85191.63","1413.02"
"22204","UNIVERSIDADE ESTADUAL DA PARAIBA","220401","UNIVERSIDADE ESTADUAL DA PARAIBA - UEPB","288398737.30","282217038.08","6181699.22"
"22205","FUNDACAO CASA DO ESTUDANTE DA PARAIBA","220501","FUNDACAO CASA DO ESTUDANTE DA PARAIBA","208918.07","199053.68","9864.39"
"22208","FUNDACAO CENTRO INTEGR. DE APOIO AO POR. DE DEFICIENCIA","220801","FUNDACAO CENTRO INTEG DE APOIO AO PORTADOR DE DEFICIENC","7088299.23","7044342.93","43956.30"
"22208","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","FUNDACAO CENTRO INTEG DE APOIO AO PORTADOR DE DEFICIENC","109868.46","109868.46","0.00"
"23101","CORPO DE BOMBEIROS MILITAR","230001","COMANDO GERAL DO CORPO DE BOMBEIROS MILITAR","84430828.53","84213478.08","217350.45"
"23901","FUNDO ESPECIAL DO CORPO DE BOMBEIROS","570001","FUNDO ESPECIAL DO CORPO DE BOMBEIROS","11643138.51","6012225.51","5630913.00"
"23901","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","FUNDO ESPECIAL DO CORPO DE BOMBEIROS","71052.57","71052.57","0.00"
"24101","SECRETARIA DE ESTADO DA ADMINISTRACAO PENITENCIARIA","240001","SECRETARIA DE ESTADO DA ADMINISTRACAO PENITENCIARIA","129629033.13","125007853.78","4621179.35"
"25101","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","SECRETARIA DE ESTADO DA SAUDE","4100307.60","4100307.60","0.00"
"25101","SECRETARIA DE ESTADO DA SAUDE","250001","SECRETARIA DE ESTADO DA SAUDE","1016139216.73","925348713.61","90790503.12"
"25102","SECRETARIA DE ESTADO DA SAUDE","250001","CONSELHO ESTADUAL DE SAUDE","972520.90","941246.21","31274.69"
"25201","LABORATORIO INDUSTRIAL FARMACEUTICO DA PARAIBA S/A","250101","LABORATORIO INDUSTRIAL FARMACEUTICO DA PARAIBA S/A","2181602.42","2174545.39","7057.03"
"25202","AGENCIA ESTADUAL DE VIGILANCIA SANITARIA","250201","AGENCIA ESTADUAL DE VIGILANCIA SANITARIA - AGEVISA","3260300.18","2873570.42","386729.76"
"26101","SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","260001","SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","225619704.90","223474497.87","2145207.03"
"26102","SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","260001","SUPERINTENDENCIA GERAL DE POLICIA CIVIL","1658338.19","1658338.19","0.00"
"26102","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","SUPERINTENDENCIA GERAL DE POLICIA CIVIL","981747.08","981747.08","0.00"
"26201","SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO","270001","DEPARTAMENTO ESTADUAL DE TRANSITO DO ESTADO DA PARAIBA","256161.22","256161.22","0.00"
