"Exercicio","Mes","Orgao","Cargo","Quantidade","Regime","Ativo"
"2013","1","PBPREV - INATIVO","TECNICO DE NIVEL MEDIO","4","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","28","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ESCREVENTE DATILOGRAFO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ESCRITURARIO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","MOTORISTA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","SERVENTE","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","TRATORISTA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ADMINISTRACAO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ESCRITA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","9","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","MOTORISTA","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE SAUDE","8","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ASSISTENTE SOCIAL","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ATENDENTE","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ENFERMAGEM","5","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","CIRURGIAO DENTISTA","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ENFERMEIRO","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","FARMACEUTICO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","MEDICO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PSICOLOGO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 1","11","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 2","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 3","4","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","REGENTE DE ENSINO","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","3. SARGENTO","1","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","SOLDADO ENGAJADO","3","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","TRATORISTA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","4","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE SAUDE","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 1","5","ESTATUTARIO INATIVO","Inativos"
